kata,frekuensi,sentimen
tidak,293,Negatif
layan,126,Negatif
makan,125,Negatif
tapi,120,Negatif
kurang,115,Negatif
lezat,108,Negatif
beli,59,Negatif
lama,58,Negatif
baik,51,Negatif
harga,45,Negatif
terlalu,43,Negatif
mahal,35,Negatif
meja,33,Negatif
parkir,31,Negatif
pesan,31,Negatif
ramah,30,Negatif
bayar,30,Negatif
porsi,30,Negatif
nyaman,28,Negatif
orang,27,Negatif
lezat,1569,Positif
tidak,513,Positif
harga,482,Positif
makan,459,Positif
porsi,398,Positif
tapi,323,Positif
bagus,297,Positif
layan,285,Positif
kuah,278,Positif
pas,265,Positif
ramah,250,Positif
nyaman,212,Positif
murah,205,Positif
mienya,191,Positif
bumbu,188,Positif
lumayan,180,Positif
manis,160,Positif
bersih,160,Positif
kurang,157,Positif
baik,149,Positif
